Run,Agent,Iteration,Underbid Regret
0,PPO Bidder - Net Utility 1,0,-782.297893000636
0,PPO Bidder - Net Utility 1,1,-241.31210277853512
0,PPO Bidder - Net Utility 1,2,-188.84347841392756
0,PPO Bidder - Net Utility 1,3,-188.63844711599546
0,PPO Bidder - Net Utility 1,4,-196.69380837160787
0,Truthful Competitor 2,0,-2521.949637513159
0,Truthful Competitor 2,1,-254.47290003399337
0,Truthful Competitor 2,2,-219.60628282631112
0,Truthful Competitor 2,3,-243.76900832707958
0,Truthful Competitor 2,4,-229.35198200488026
0,Truthful Competitor 3,0,-1843.7919566701476
0,Truthful Competitor 3,1,-221.9898937284209
0,Truthful Competitor 3,2,-175.98219605879444
0,Truthful Competitor 3,3,-184.52705506597493
0,Truthful Competitor 3,4,-172.66905711881225
0,Truthful Competitor 4,0,-1077.300834208028
0,Truthful Competitor 4,1,-289.1856728089232
0,Truthful Competitor 4,2,-239.9148879989164
0,Truthful Competitor 4,3,-239.13049055605262
0,Truthful Competitor 4,4,-216.0460599272461
0,Truthful Competitor 5,0,-1122.9697984915515
0,Truthful Competitor 5,1,-326.0052882000042
0,Truthful Competitor 5,2,-265.3130713237724
0,Truthful Competitor 5,3,-264.3099943619991
0,Truthful Competitor 5,4,-254.36259112664956
0,Truthful Competitor 6,0,-1623.590756675822
0,Truthful Competitor 6,1,-347.94254265237385
0,Truthful Competitor 6,2,-276.0595454862329
0,Truthful Competitor 6,3,-265.2796832698887
0,Truthful Competitor 6,4,-234.3913699980303
1,PPO Bidder - Net Utility 1,0,-1626.3680688168542
1,PPO Bidder - Net Utility 1,1,-234.38976031744386
1,PPO Bidder - Net Utility 1,2,-211.87700548451588
1,PPO Bidder - Net Utility 1,3,-215.67209265018164
1,PPO Bidder - Net Utility 1,4,-213.16512696443894
1,Truthful Competitor 2,0,-2847.2230036947285
1,Truthful Competitor 2,1,-257.1449220474426
1,Truthful Competitor 2,2,-231.28786986781492
1,Truthful Competitor 2,3,-217.7906288318914
1,Truthful Competitor 2,4,-209.19502849405984
1,Truthful Competitor 3,0,-1872.2694724520961
1,Truthful Competitor 3,1,-264.1875526586928
1,Truthful Competitor 3,2,-176.18786078091526
1,Truthful Competitor 3,3,-178.39854610857412
1,Truthful Competitor 3,4,-172.9496681523464
1,Truthful Competitor 4,0,-1641.6613348019227
1,Truthful Competitor 4,1,-174.5933961735925
1,Truthful Competitor 4,2,-178.12355042034432
1,Truthful Competitor 4,3,-184.29567078012104
1,Truthful Competitor 4,4,-167.97416407080004
1,Truthful Competitor 5,0,-1689.4473993090332
1,Truthful Competitor 5,1,-288.1408121232992
1,Truthful Competitor 5,2,-257.2329442721691
1,Truthful Competitor 5,3,-262.3742350659884
1,Truthful Competitor 5,4,-251.49024723928522
1,Truthful Competitor 6,0,-1945.3265790067785
1,Truthful Competitor 6,1,-270.08111185654457
1,Truthful Competitor 6,2,-211.1426235074762
1,Truthful Competitor 6,3,-212.59227446458772
1,Truthful Competitor 6,4,-191.53357486121658
2,PPO Bidder - Net Utility 1,0,-1083.954836964505
2,PPO Bidder - Net Utility 1,1,-209.8414908138745
2,PPO Bidder - Net Utility 1,2,-198.5691960920355
2,PPO Bidder - Net Utility 1,3,-193.477118439173
2,PPO Bidder - Net Utility 1,4,-185.25577323165484
2,Truthful Competitor 2,0,-2336.484274112162
2,Truthful Competitor 2,1,-314.47861733648347
2,Truthful Competitor 2,2,-246.82645765917528
2,Truthful Competitor 2,3,-262.0063464922522
2,Truthful Competitor 2,4,-249.3668012480235
2,Truthful Competitor 3,0,-1284.5970906899033
2,Truthful Competitor 3,1,-263.7571605822471
2,Truthful Competitor 3,2,-206.96367051398306
2,Truthful Competitor 3,3,-206.62023543596308
2,Truthful Competitor 3,4,-193.73540740926737
2,Truthful Competitor 4,0,-2470.085974115211
2,Truthful Competitor 4,1,-228.8733059599217
2,Truthful Competitor 4,2,-239.49496115661856
2,Truthful Competitor 4,3,-261.3080813992642
2,Truthful Competitor 4,4,-239.96665802876743
2,Truthful Competitor 5,0,-1896.4580849744812
2,Truthful Competitor 5,1,-312.94052679745636
2,Truthful Competitor 5,2,-319.3821006209254
2,Truthful Competitor 5,3,-301.5583424244676
2,Truthful Competitor 5,4,-274.451812593328
2,Truthful Competitor 6,0,-1841.5210089741745
2,Truthful Competitor 6,1,-229.65354957111003
2,Truthful Competitor 6,2,-209.45407128450148
2,Truthful Competitor 6,3,-257.15993595199444
2,Truthful Competitor 6,4,-236.66822195240962
